racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,result_bin
-1.0,0.15387485901300987,0.9550000000000001,-0.0031999999999999316,0.0021999999999999884,4.000000000002027e-05,0.020895709648959367,0.016113084569187697,0.045299610884840705,-0.9973000000000001,0.0031999999999999316,-0.969325,-0.1,0
-2.0,0.15598302084413984,0.9524999999999999,0.008599999999999995,0.011599999999999966,0.010399999999999977,0.020710302344073554,0.015672715265757198,0.04541671846816003,-0.9899,0.008599999999999995,-0.9374750000000001,-0.2,0
-2.0,0.19696520849319682,0.9524999999999999,0.17299999999999996,0.09980000000000004,0.12908,0.021695375551921345,0.06616372039157359,0.14829628467602168,-0.8636,0.17299999999999996,-0.9059,-0.2,1
-2.0,0.1973520677653388,0.9524999999999999,0.18280000000000002,0.10819999999999994,0.13803999999999997,0.02152378792125286,0.06517707909027926,0.14858083567755645,-0.8545,0.18280000000000002,-0.903625,-0.2,1
-3.0,0.16737583383133978,0.9537500000000001,0.3580000000000001,0.34159999999999996,0.34816,0.013069983221315999,0.0008889931892724912,0.05786099495190417,-0.6502,0.3580000000000001,-0.82255,-0.3,0
-3.0,0.16737583383133978,0.9537500000000001,0.3580000000000001,0.34159999999999996,0.34816,0.013069983221315999,0.0008889931892724912,0.05786099495190417,-0.6502,0.3580000000000001,-0.82255,-0.3,0
-3.0,0.16318934274614297,0.9537500000000001,0.3447999999999999,0.33099999999999996,0.33651999999999993,0.01259604978087416,0.00014810865195991063,0.05358448055132836,-0.6621000000000001,0.3447999999999999,-0.8255250000000001,-0.3,0
-3.0,0.16318934274614297,0.9537500000000001,0.3447999999999999,0.33099999999999996,0.33651999999999993,0.01259604978087416,0.00014810865195991063,0.05358448055132836,-0.6621000000000001,0.3447999999999999,-0.8255250000000001,-0.3,0
-3.0,0.16979359120260878,0.9537500000000001,0.36539999999999995,0.3478,0.35484,0.013345432240649806,0.001327447270059956,0.060335074204116934,-0.6434000000000001,0.36539999999999995,-0.8208500000000001,-0.3,1
-4.0,0.17435421476324917,0.9537500000000001,0.3730000000000001,0.35400000000000004,0.36160000000000003,0.013626126657839658,0.0017803334838621954,0.06285684128749455,-0.6364999999999998,0.3730000000000001,-0.789125,-0.4,1
-2.0,0.1706539495478677,0.9524999999999999,0.3746000000000001,0.35539999999999994,0.36308,0.013688365606234595,0.0018815965563163672,0.06341200584619307,-0.635,0.3746000000000001,-0.84875,-0.2,1
-2.0,0.16882663999745048,0.9524999999999999,0.36900000000000005,0.3508000000000001,0.35808000000000006,0.013479299280543852,0.001542661791099409,0.061538543042776485,-0.6400999999999999,0.36900000000000005,-0.850025,-0.2,1
1.0,0.11801275426044118,0.95,-0.37579999999999997,-0.07379999999999995,-0.19459999999999997,0.004995915802128332,0.008720612775749093,0.06142811022337126,-0.7752,0.37579999999999997,-0.9138,0.1,0
1.0,0.1184792048121553,0.95,-0.3772,-0.07540000000000006,-0.19612000000000004,0.005043231949669972,0.008814367262278244,0.06191933512958953,-0.7736999999999999,0.3772,-0.9134249999999999,0.1,0
-4.0,0.29040622044720227,0.9537500000000001,0.47900000000000004,0.2122,0.31892,0.020041135978269464,0.05715852768733398,0.1702189723909676,-0.48857142857142843,0.47900000000000004,-0.7521428571428571,-0.4,1
-4.0,0.29040622044720227,0.9537500000000001,0.47900000000000004,0.2122,0.31892,0.020041135978269464,0.05715852768733398,0.1702189723909676,-0.48857142857142843,0.47900000000000004,-0.7521428571428571,-0.4,1
1.0,0.28141839550375647,0.95,0.4728,0.20560000000000003,0.31248000000000004,0.019964454922504787,0.05676728073891146,0.16871062563708325,-0.5062857142857142,0.4728,-0.8465714285714285,0.1,1
1.0,0.2777936645254756,0.95,0.4640000000000001,0.19620000000000004,0.30332000000000003,0.019858076471842793,0.056228143225519056,0.1665840790310199,-0.5314285714285713,0.4640000000000001,-0.8528571428571428,0.1,1
-4.0,0.2924021898924486,0.9537500000000001,0.48379999999999995,0.21760000000000004,0.32408000000000003,0.020101668942281294,0.05746894391732893,0.1714175035499807,-0.474857142857143,0.48379999999999995,-0.7487142857142858,-0.4,1
-4.0,0.2924021898924486,0.9537500000000001,0.48379999999999995,0.21760000000000004,0.32408000000000003,0.020101668942281294,0.05746894391732893,0.1714175035499807,-0.474857142857143,0.48379999999999995,-0.7487142857142858,-0.4,1
1.0,0.28597718989244864,0.95,0.48379999999999995,0.21760000000000004,0.32408000000000003,0.020101668942281294,0.05746894391732893,0.1714175035499807,-0.474857142857143,0.48379999999999995,-0.8387142857142857,0.1,1
1.0,0.28597718989244864,0.95,0.48379999999999995,0.21760000000000004,0.32408000000000003,0.020101668942281294,0.05746894391732893,0.1714175035499807,-0.474857142857143,0.48379999999999995,-0.8387142857142857,0.1,1
-1.0,0.34796372480628585,0.9550000000000001,0.5119999999999999,0.24900000000000005,0.3542,0.03297554124663346,0.05941717889986953,0.17855920377954473,-0.3942857142857146,0.5119999999999999,-0.8185714285714286,-0.1,1
-1.0,0.3511015695011363,0.9550000000000001,0.5194,0.25739999999999996,0.36219999999999997,0.03307971946639353,0.05996970792704348,0.18048767408368666,-0.3731428571428572,0.5194,-0.8132857142857143,-0.1,1
1.0,0.19860932667225012,0.95,0.31060000000000004,0.21019999999999997,0.25036,0.01908977568014218,0.05245617735180741,0.15062648929649514,-0.7396,0.31060000000000004,-0.9049,0.1,1
1.0,0.19541538985997556,0.95,0.29180000000000006,0.1972,0.23504000000000003,0.01892689767428579,0.0516831879025651,0.14707282011807715,-0.7555000000000001,0.29180000000000006,-0.908875,0.1,1
